"","TG_T10i","TG_T11i","TG_T12r","TG_T13i","TG_T14r","TG_T15r","TG_T17r","TG_T18i","TG_T19r","TG_T1r","TG_T20i","TG_T2i","TG_T3r","TG_T4i","TG_T6i","TG_T8i","TG_T9r"
"1931",0.511781806605044,0.799801794303455,1.01523738512652,NA,0.419558855920204,0.75889209109801,0.797824328936447,1.01592945901305,0.982993568248554,0.835484583583173,NA,0.371823865903951,NA,0.60671058679332,0.946881741113753,0.725455692420067,0.815624517523545
"1932",0.506819071906477,1.13655142563609,0.807833768410172,NA,0.458670274692426,0.681308850177309,0.89172171615081,1.07306590269968,0.914881237604306,0.796982989869663,NA,0.308899827058667,NA,0.785690209897349,0.998167622299757,0.763637570968492,0.928825073336421
"1933",0.571223020130135,1.09969934645927,0.81734331469145,NA,0.430225606494446,0.560473663009438,0.780577589269129,0.979444789340504,0.748400560012553,0.758481396156152,NA,0.377544233071704,NA,0.791757315765283,1.07647972594947,0.595637305355423,0.809819360815192
"1934",0.774570646155549,1.23833803952932,1.03883881199686,NA,0.476448192316164,0.953154114563393,0.822074370379619,1.23452534888492,0.878272739824027,0.719979802442642,NA,0.337501662897432,NA,0.834227056840815,0.791646031977233,0.874365018758923,0.676300756523082
"1935",0.66277469651377,1.04560177638929,0.854740025235001,NA,0.540448695761619,0.725789617232484,0.950498496155885,0.952919310957746,0.853003505792374,0.777732193012908,NA,0.308899827058667,NA,0.679515857208518,1.06305413090546,1.11872904146884,0.615346611085379
"1936",0.513390956285302,1.0126547980807,0.917501000804766,NA,0.632893867405053,0.889264165111352,1.0538744244749,1.25314223514931,0.719044037956222,0.685328368100483,NA,0.263136889716642,0.639135654261705,0.670415198406619,0.959261752754723,1.17982004714632,0.722742010189903
"1937",0.604604064909699,0.885325320079644,0.842452227241342,NA,0.544004279286366,0.672214868821755,0.886154754636698,1.1303585741549,0.99389347803848,0.962539842837757,0.744181930802584,0.62924038845284,0.612725090036014,0.858495480312548,0.892553229580767,1.08054716292042,0.63856723791879
"1938",0.674470476700319,1.02180327295998,1.03480403142914,1.08872212091457,0.600893615682326,0.998112637266852,0.964998558712381,1.32716370648469,1.08270039432238,1.01644207403667,0.849393858950535,1.02966609019556,0.81608643457383,0.803891527501149,1.1185531387922,1.45854776054982,0.676300756523082
"1939",0.760441526119562,1.15366586876833,1.28786938124292,0.428250806564736,0.79289512601869,0.962015568641986,1.02404281882512,1.17385552640421,1.02862131871163,0.839334742954524,1.15476506503849,0.72076626313689,0.818727490996399,0.867596139114448,0.779418782809635,1.17218367143663,0.658885286398024
"1940",0.766099142608295,1.16753931210527,1.34278619948063,0.488567821573853,0.686227620276266,0.984538035583368,1.06982408101656,1.03752934866664,0.877011792681037,0.985640799065863,0.908415184496947,0.543434880936544,0.789675870348139,0.916132986057913,0.908227411441169,1.00800159367841,0.539879573876795
"1941",0.814613044727137,1.02097287471735,1.07342157522218,0.536821433581147,0.654227368553538,0.828308978724997,1.15726954130293,1.25222280138574,0.818944005767526,1.08574494272099,1.73727988673569,0.509112677930025,0.721008403361345,0.785690209897349,0.840303052196158,1.10727447790431,0.6617878647522
"1942",0.718389051505183,1.0161099493629,1.26202202040293,0.711740777107589,0.82133979421667,1.05318505141098,1.19040469440889,1.14650946845998,1.06231844917846,1.13579701454855,1.61923723564286,0.509112677930025,0.765906362545018,0.998038915275011,1.16329888639903,1.33636574919486,0.676300756523082
"1943",0.782968076706947,1.08277404164766,1.41410786611988,0.554916538083883,0.917340549384853,1.17553236452382,1.23629976754935,1.1851636208608,0.944145980165751,1.12039637706315,1.80143350146005,0.634960755620593,0.794957983193277,1.12241458556764,1.13457567400753,1.59982071117899,0.795306469044311
"1944",0.718823464687459,1.03791409387262,1.41259772842181,0.645392060597559,0.89245146471162,1.07812095443102,1.20367634827039,1.00727381794534,1.13687358080653,1.07419446460694,1.33952747544465,0.491951576426766,0.747418967587035,1.13454879730351,1.11118611087189,1.07672897506557,0.676300756523082
"1945",0.837064618504805,1.06770623441725,1.2971473777925,0.560948239584795,0.956451968157075,1.13326296308515,1.12775723735751,0.942288486700609,1.29369780965596,1.14734749266261,1.19582337846208,0.606358919781828,0.821368547418968,1.07387773862418,1.03183971908219,1.03854709651715,0.702423961710668
"1946",0.864109101005252,1.25828194200402,1.25712911098453,0.711740777107589,1.02756363865202,1.22038756331544,1.01993242149145,1.07405543025377,1.04449095903216,1.04339318963613,1.1137067516149,0.634960755620593,0.927010804321729,1.07994484449211,0.968672282974069,1.22563830140443,0.806916782461016
"1947",0.907255760659022,1.11794828847166,1.19741233318203,0.560948239584795,0.817784210691923,1.16785573508786,0.902255389309192,1.16186023244722,0.852863383240781,1.10114558020639,1.09830988408105,0.531994146601038,0.665546218487395,1.11331392676574,1.14109990537952,1.05381984793652,0.80401420410684
"1948",0.676560283592614,0.85300580654791,1.09514736033077,0.431266657315191,0.903118215285863,0.932631488642115,0.841386069910047,1.05700901037409,0.856672326673209,1.05879382712153,0.816033979293868,0.55487561527205,0.628571428571429,1.01624023287881,0.86906421889946,0.90109233374282,0.74886521537749
"1949",0.601506111940523,0.98596981581572,0.989834269064093,0.506662926076589,0.842673295365155,1.11583982222773,0.623397724182219,1.05131400486194,0.855775659290818,0.970240161580459,0.818600123882842,0.623520021285087,0.805522208883553,1.11028037383178,0.92348315646814,0.588000929645739,0.644372394627142
"1950",0.671447018769545,1.44547948114113,1.18789737910274,0.557932388834339,1.01334130455303,1.14941409939174,1.01212151817414,1.19321655845979,1.12260928058892,1.07419446460694,0.972568799221308,0.652121857123853,0.974549819927971,1.06477707982228,1.10346888384455,1.03091072080746,0.490535741855797
"1951",0.703796111290921,1.61994801504366,1.19910830350849,0.775073642867162,0.757339290771216,1.1105776230682,1.14341891873355,1.04608503187179,0.974566880349509,1.1088458989491,0.777541810459251,0.755088466143408,1.06170468187275,1.04960931515244,1.01077718303268,1.26382017995285,0.664690443106376
"1952",0.542706871240493,1.19623020753123,0.923183317327102,0.609201851592089,0.796450709543438,1.11192793399134,0.852262515811075,0.875855079413566,0.912955112722281,0.989490958437214,0.554287231218476,0.760808833311161,0.858343337334934,0.779623104029416,0.865744581605345,0.962183339420299,0.676300756523082
"1953",0.569656610621223,1.17627645231339,0.863898502016556,0.46142516481975,0.693338787325761,0.931852941537622,1.40227065379652,1.33112131813021,0.854756127905009,0.916337930381545,0.697991328201044,0.772249567646668,1.00096038415366,1.04657576221848,0.9037536890834,0.851455891629868,0.751767793731666
"1954",0.569733549466186,1.04945943294011,0.965845200131962,0.56396409033525,0.721783455523741,1.26434580397235,1.57321026606481,1.54848680983792,0.828853760469856,1.02799255215072,0.754446509158482,0.692164427298124,1.00360144057623,1.11028037383178,0.94206877849528,0.958365151565457,0.69371622664814
"1955",0.49992309201997,0.805011897578923,0.876902227804079,0.545868985832515,0.604449199207073,0.956539588603616,0.749957344149574,1.21299681771418,0.753978496042932,0.939438886609651,0.613308556764888,0.692164427298124,0.974549819927971,0.840294162708748,0.870438070659005,0.820910388791128,0.728547166898255
"1956",0.569870823038515,0.681153439828144,0.923945285065554,0.524758030579324,0.661338535603033,1.10037335053463,1.44170600725908,1.30415218333263,0.789755748327514,0.885536655410736,0.654366870188479,0.863775442330717,0.903241296518608,0.970736938869312,1.02545826984917,0.832364952355656,0.714034275127374
"1957",0.596815544639857,0.878903993785631,1.09125028618959,0.591106747089353,0.814228627167175,1.33211912488212,1.71800953106118,0.97599971269523,0.75223566231887,1.10114558020639,0.882753738607203,0.789410669149927,1.32581032412965,1.21645472652061,1.11153919491162,0.786546698097546,0.835942566002779
"1958",0.699042608478201,0.848995123112672,1.04137969363392,0.889675971384486,0.84978446241465,1.23196889551422,1.50505559362967,0.849642857422617,0.847783626616914,1.22820083946098,1.14193434209362,0.835173606491951,1.51596638655462,1.28622644400184,1.25119168495517,0.771273946678177,1.00429211054501
"1959",0.666840457060142,0.790162886803325,0.888944785361559,0.756978538364427,1.1982316478399,1.1039172229603,1.04863779862539,0.69660251651193,0.804791500082558,0.904787452267491,0.936642774975666,0.686444060130371,1.24129651860744,1.08904550329401,0.979112665093466,0.530728111823102,1.18715454685811
"1960",0.672275485383253,0.80734714715697,0.96284592811235,0.759994389114883,0.817784210691923,0.964758828062969,1.10994507962119,0.861106869655347,0.619831762841321,0.908637611638842,0.821166268471817,0.680723692962618,1.38919567827131,0.913099433123947,1.03645461930375,0.576546366081211,1.07395399104524
"1961",0.57013460086517,0.718328530610152,0.852908704180336,0.585075045588442,0.643560617979296,1.01775157057757,0.815344342520053,0.596631279648599,0.472395731601911,0.789282671126961,0.808335545526945,0.583477451110816,1.00360144057623,0.737153362953884,0.808809423320416,0.588000929645739,0.957850856878184
